ID,PERIOD,GAME_CLOCK,GAME_CLOCK_SECONDS,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSE_DEF_DIST,PLAYER,PLAYER_ID,DEFENDER,DEFENDER_ID,PLAYER_HEIGHT,DEFENDER_HEIGHT,HEIGHT_DIFF,PLAYER_AGE,DEFENDER_AGE,AGE_DIFF,PLAYER_WEIGHT,DEFENDER_WEIGHT,WEIGHT_DIFF,PLAYER_EXPERIENCE,DEFENDER_EXPERIENCE,EXPERIENCE_DIFF,SHOT_RESULT
15902,4,11:45,705.0,9.0,1,2.1,2.37744,0,0.7924800000000001,davis,92,dieng,100,205.0,207.5,-2.5,26.0,25.0,1.0,108.0,108.45,-0.4500000000000028,4.0,1.0,3.0,1
9664,2,0:35,35.0,5.8,0,0.8,5.821680000000001,0,1.55448,hill,163,gasol,132,205.0,212.5,-7.5,28.0,30.0,-2.0,105.75,114.75,-9.0,5.0,6.0,-1.0,1
17272,1,9:51,591.0,15.5,0,1.4,6.37032,0,2.7127200000000005,curry,88,jackson,178,187.5,187.5,0.0,27.0,25.0,2.0,85.5,93.6,-8.099999999999994,5.0,3.0,2.0,1
7211,3,3:42,222.0,7.8,4,8.3,2.5908,0,1.00584,gasol,132,hamilton,148,210.0,197.5,12.5,35.0,25.0,10.0,112.5,99.0,13.5,13.0,3.0,10.0,0
12813,4,3:39,219.0,20.1,5,3.4,7.498080000000001,0,1.12776,lillard,210,teague,316,187.5,185.0,2.5,25.0,27.0,-2.0,87.75,83.7,4.049999999999997,2.0,5.0,-3.0,0
10690,2,1:23,83.0,17.4,2,2.4,2.62128,0,1.00584,anderson,12,ellis,113,205.0,187.5,17.5,27.0,30.0,-3.0,108.0,83.25,24.75,6.0,9.0,-3.0,1
6019,4,8:29,509.0,23.8,0,1.2,7.40664,1,1.61544,green,144,hill,163,197.5,187.5,10.0,29.0,29.0,0.0,92.25,84.6,7.650000000000006,7.0,6.0,1.0,1
8743,2,8:17,497.0,17.2,0,0.6,6.88848,1,1.24968,butler,60,james,179,197.5,205.0,-7.5,36.0,30.0,6.0,96.75,108.0,-11.25,11.0,2.0,9.0,0
16181,3,11:41,701.0,6.9,0,1.2,4.84632,0,1.31064,jefferson,180,karasev,191,205.0,197.5,7.5,30.0,22.0,8.0,130.05,93.6,36.45000000000002,10.0,1.0,9.0,0
19002,2,2:44,164.0,20.3,3,3.4,2.5603200000000004,0,0.4572,harden,150,crabbe,84,192.5,195.0,-2.5,26.0,23.0,3.0,99.0,94.5,4.5,5.0,1.0,4.0,1
4577,2,10:33,633.0,6.3,1,1.5,0.8229600000000001,0,0.6400800000000001,anderson,12,humphries,171,205.0,202.5,2.5,27.0,30.0,-3.0,108.0,105.75,2.25,6.0,10.0,-4.0,0
17336,1,8:18,498.0,17.8,0,1.2,0.6096,0,0.0,hill,163,evans,115,205.0,202.5,2.5,28.0,28.0,0.0,105.75,90.0,15.75,5.0,4.0,1.0,1
7080,1,5:10,310.0,4.0,2,3.0,7.650480000000001,1,2.01168,green,144,ariza,16,202.5,200.0,2.5,29.0,30.0,-1.0,105.75,96.75,9.0,6.0,10.0,-4.0,0
10738,4,4:45,285.0,16.2,6,7.1,1.92024,0,0.70104,curry,88,lamb,200,187.5,192.5,-5.0,27.0,23.0,4.0,85.5,83.25,2.25,5.0,2.0,3.0,1
16926,4,5:29,329.0,10.0,0,2.6,5.9436,0,1.58496,gasol,132,vucevic,324,212.5,210.0,2.5,30.0,25.0,5.0,114.75,117.0,-2.25,6.0,3.0,3.0,1
19163,4,0:54,54.0,20.0,2,1.8,7.43712,1,1.46304,harden,150,duncan,108,192.5,207.5,-15.0,26.0,39.0,-13.0,99.0,112.5,-13.5,5.0,17.0,-12.0,1
7441,4,10:57,657.0,6.1,0,0.8,0.88392,0,0.54864,chandler,72,cousins,82,212.5,207.5,5.0,33.0,25.0,8.0,108.0,121.5,-13.5,13.0,4.0,9.0,0
17110,4,4:53,293.0,11.7,3,4.8,5.54736,0,0.9144,johnson,185,green,144,197.5,195.0,2.5,28.0,28.0,0.0,96.75,96.75,0.0,4.0,5.0,-1.0,1
3647,2,5:41,341.0,7.9,1,3.1,8.5344,1,1.9812,james,179,mozgov,249,200.0,212.5,-12.5,31.0,29.0,2.0,112.5,123.75,-11.25,11.0,4.0,7.0,0
10010,4,9:06,546.0,9.6,0,0.8,7.193280000000001,1,2.10312,williams,328,johnson,185,202.5,202.5,0.0,29.0,28.0,1.0,106.65,108.0,-1.3499999999999943,9.0,9.0,0.0,1
3297,2,6:08,368.0,19.9,2,2.4,1.31064,0,1.09728,james,179,jordan,187,200.0,207.5,-7.5,31.0,27.0,4.0,112.5,119.25,-6.75,11.0,6.0,5.0,0
8856,4,6:07,367.0,12.1,1,2.5,2.0726400000000003,0,0.57912,barnes,26,motiejunas,248,200.0,210.0,-10.0,23.0,25.0,-2.0,94.5,99.9,-5.400000000000006,2.0,2.0,0.0,1
15532,2,4:58,298.0,6.2,0,4.3,4.35864,0,0.97536,morris,246,hummel,170,202.5,200.0,2.5,26.0,26.0,0.0,105.75,96.75,9.0,3.0,1.0,2.0,1
12870,1,8:31,511.0,9.0,3,5.1,2.5298400000000005,0,1.12776,aldridge,7,hawes,154,207.5,212.5,-5.0,30.0,27.0,3.0,117.0,110.25,6.75,8.0,7.0,1.0,0
7780,1,1:45,105.0,16.0,0,1.0,0.21336,0,0.97536,curry,88,mozgov,249,187.5,212.5,-25.0,27.0,29.0,-2.0,85.5,123.75,-38.25,5.0,4.0,1.0,0
3138,1,9:07,547.0,21.9,0,0.9,0.88392,0,1.524,morris,246,burks,59,205.0,195.0,10.0,26.0,24.0,2.0,110.25,96.3,13.950000000000005,3.0,3.0,0.0,1
13353,4,8:49,529.0,16.0,0,1.1,7.162800000000001,1,2.5603200000000004,green,144,mclemore,233,197.5,192.5,5.0,29.0,22.0,7.0,92.25,87.75,4.5,7.0,1.0,6.0,0
2570,4,0:18,18.0,13.0,3,4.3,1.7373600000000002,0,1.24968,harris,152,mahinmi,218,202.5,207.5,-5.0,23.0,29.0,-6.0,105.75,112.5,-6.75,3.0,6.0,-3.0,0
7092,4,0:48,48.0,6.4,19,17.2,4.1452800000000005,0,0.67056,lillard,210,mccallum,227,187.5,187.5,0.0,25.0,24.0,1.0,87.75,85.5,2.25,2.0,1.0,1.0,0
4356,3,4:21,261.0,11.9,0,1.0,6.00456,0,0.54864,morris,246,marion,220,205.0,197.5,7.5,26.0,37.0,-11.0,110.25,99.0,11.25,3.0,15.0,-12.0,1
11991,3,7:01,421.0,10.0,0,1.2,6.88848,1,2.22504,barnes,26,ellington,112,197.5,190.0,7.5,35.0,28.0,7.0,101.7,90.0,11.700000000000005,11.0,5.0,6.0,1
9220,1,5:25,325.0,16.6,0,0.8,8.2296,1,1.61544,anderson,12,irving,176,205.0,187.5,17.5,27.0,23.0,4.0,108.0,86.85,21.15000000000001,6.0,3.0,3.0,1
12011,3,5:18,318.0,4.7,1,2.8,3.93192,0,1.0668,morris,246,barnes,26,202.5,200.0,2.5,26.0,23.0,3.0,105.75,94.5,11.25,3.0,2.0,1.0,0
4240,1,11:11,671.0,13.5,0,0.7,6.76656,0,1.4935200000000002,williams,328,holiday,165,202.5,190.0,12.5,29.0,25.0,4.0,106.65,92.25,14.400000000000006,9.0,5.0,4.0,0
14398,3,8:52,532.0,20.2,1,1.3,2.1336,0,0.6400800000000001,chandler,72,hamilton,148,200.0,197.5,2.5,28.0,25.0,3.0,101.25,99.0,2.25,7.0,3.0,4.0,0
16331,1,4:54,294.0,15.4,0,0.8,7.528560000000001,1,2.16408,morris,246,black,40,202.5,202.5,0.0,26.0,24.0,2.0,105.75,112.5,-6.75,3.0,0.0,3.0,0
11129,4,2:57,177.0,4.9,0,1.0,5.73024,0,1.61544,davis,92,johnson,185,205.0,202.5,2.5,22.0,28.0,-6.0,113.85,108.0,5.849999999999994,2.0,9.0,-7.0,1
8056,2,7:48,468.0,14.1,0,2.0,1.34112,0,0.57912,johnson,185,batum,30,202.5,200.0,2.5,28.0,27.0,1.0,112.5,90.0,22.5,5.0,6.0,-1.0,1
19724,3,1:48,108.0,3.8,0,1.0,8.16864,1,1.12776,green,144,mcdermott,230,202.5,200.0,2.5,29.0,23.0,6.0,105.75,101.25,4.5,6.0,0.0,6.0,0
7586,3,10:41,641.0,17.3,7,6.4,1.6764,0,0.762,james,179,barnes,26,200.0,200.0,0.0,31.0,23.0,8.0,112.5,94.5,18.0,11.0,2.0,9.0,0
15096,1,10:50,650.0,16.6,0,0.9,7.68096,1,1.524,aldridge,7,west,327,207.5,202.5,5.0,30.0,35.0,-5.0,117.0,112.5,4.5,8.0,11.0,-3.0,1
18439,3,6:12,372.0,3.0,1,3.5,6.7056,0,1.0668,james,179,afflalo,3,200.0,192.5,7.5,31.0,30.0,1.0,112.5,94.5,18.0,11.0,7.0,4.0,0
19851,4,6:18,378.0,11.6,4,5.1,1.58496,0,0.5181600000000001,johnson,185,parsons,268,197.5,205.0,-7.5,34.0,27.0,7.0,108.0,103.5,4.5,13.0,3.0,10.0,1
16690,1,6:05,365.0,16.8,7,6.8,1.4935200000000002,0,1.58496,lillard,210,drummond,106,187.5,207.5,-20.0,25.0,22.0,3.0,87.75,125.55,-37.8,2.0,2.0,0.0,1
3886,2,5:31,331.0,20.8,0,0.9,1.31064,0,0.6096,butler,60,caldwell-pope,64,197.5,192.5,5.0,36.0,22.0,14.0,96.75,92.25,4.5,11.0,1.0,10.0,1
1295,2,1:17,77.0,5.3,0,0.7,0.70104,0,0.0,johnson,185,love,214,202.5,205.0,-2.5,28.0,27.0,1.0,108.0,112.95,-4.950000000000003,9.0,6.0,3.0,1
18034,2,3:04,184.0,9.1,0,0.9,5.45592,0,2.5298400000000005,johnson,185,dragic,105,197.5,187.5,10.0,28.0,29.0,-1.0,96.75,85.5,11.25,4.0,6.0,-2.0,1
13922,1,8:22,502.0,7.3,2,4.4,0.94488,0,0.24384,hill,163,noel,257,197.5,207.5,-10.0,24.0,21.0,3.0,101.25,102.6,-1.3499999999999943,1.0,0.0,1.0,0
9078,4,6:57,417.0,18.5,0,1.1,7.37616,1,1.03632,butler,60,rudez,293,197.5,205.0,-7.5,35.0,29.0,6.0,102.6,102.6,0.0,12.0,0.0,12.0,1
12991,1,0:08,8.0,2.7,0,0.9,7.010400000000001,1,1.70688,chandler,72,antetokounmpo,13,200.0,207.5,-7.5,28.0,21.0,7.0,101.25,99.9,1.3499999999999943,7.0,1.0,6.0,0
4460,3,7:02,422.0,10.5,0,1.4,7.345680000000001,1,1.46304,barnes,26,harden,150,197.5,192.5,5.0,35.0,26.0,9.0,101.7,99.0,2.700000000000003,11.0,5.0,6.0,0
12515,1,2:45,165.0,14.0,0,1.4,7.40664,1,1.6764,williams,328,smith,306,182.5,205.0,-22.5,33.0,24.0,9.0,89.1,112.5,-23.40000000000001,11.0,3.0,8.0,1
12810,3,9:58,598.0,5.4,4,3.1,1.09728,0,0.762,thompson,319,durant,110,197.5,202.5,-5.0,25.0,27.0,-2.0,96.75,108.0,-11.25,3.0,7.0,-4.0,1
12568,1,1:07,67.0,21.7,1,1.6,1.6459200000000005,0,0.70104,williams,328,rudez,293,202.5,205.0,-2.5,29.0,29.0,0.0,106.65,102.6,4.050000000000011,9.0,0.0,9.0,1
722,1,0:07,7.0,4.1,15,14.4,7.40664,1,1.12776,harris,152,augustin,19,187.5,180.0,7.5,32.0,28.0,4.0,86.4,82.35,4.050000000000011,10.0,6.0,4.0,1
626,4,10:43,643.0,12.6,0,5.2,7.13232,1,0.9144,harden,150,jackson,178,192.5,187.5,5.0,26.0,25.0,1.0,99.0,93.6,5.400000000000006,5.0,3.0,2.0,1
2593,1,6:31,391.0,11.3,0,1.0,7.193280000000001,1,3.71856,barnes,26,antetokounmpo,13,197.5,207.5,-10.0,35.0,21.0,14.0,101.7,99.9,1.7999999999999972,11.0,1.0,10.0,1
14569,1,0:47,47.0,15.1,1,2.0,5.39496,0,1.58496,hill,163,crabbe,84,197.5,195.0,2.5,24.0,23.0,1.0,101.25,94.5,6.75,1.0,1.0,0.0,1
11252,3,7:53,473.0,10.0,0,0.8,7.07136,1,1.18872,harris,152,curry,88,187.5,185.0,2.5,32.0,25.0,7.0,86.4,83.25,3.1500000000000057,10.0,1.0,9.0,1
20135,3,8:51,531.0,24.0,1,0.6,0.6400800000000001,0,1.7373600000000002,butler,60,barnes,26,197.5,200.0,-2.5,26.0,23.0,3.0,99.0,94.5,4.5,3.0,2.0,1.0,1
14679,2,7:45,465.0,21.6,1,1.5,7.55904,1,1.6459200000000005,thompson,319,ellis,113,197.5,187.5,10.0,25.0,30.0,-5.0,96.75,83.25,13.5,3.0,9.0,-6.0,0
13699,3,5:19,319.0,14.3,13,10.1,8.16864,1,1.6459200000000005,williams,328,bradley,50,182.5,185.0,-2.5,33.0,25.0,8.0,89.1,81.0,8.099999999999994,11.0,4.0,7.0,1
2060,1,8:24,504.0,17.5,5,7.1,4.4196,0,0.6400800000000001,green,144,parsons,268,202.5,205.0,-2.5,29.0,27.0,2.0,105.75,103.5,2.25,6.0,3.0,3.0,1
9373,4,2:53,173.0,6.2,0,1.1,8.2296,1,2.22504,thompson,319,cole,78,197.5,185.0,12.5,25.0,27.0,-2.0,96.75,78.75,18.0,3.0,3.0,0.0,1
18884,1,6:32,392.0,19.5,3,3.0,5.69976,0,1.4935200000000002,james,179,pierce,273,200.0,197.5,2.5,31.0,38.0,-7.0,112.5,105.75,6.75,11.0,16.0,-5.0,1
